"%s. Please try again or attempt refreshing the page.","%s. Prøv venligst igen eller prøv at genindlæse siden."
"Please provide a shipping address.","Angiv venligst en leveringsadresse."
"Please select a shipping method.","Vælg venligst en leveringsmetode."
"Private Key","Privat nøgle"
"Processor Declined","Processor afviste"
"Production","Produktion"
"Public Key","Offentlig nøgle"
"Sadly, we're unable to accept this type of card, please try another.","Vi kan desværre ikke acceptere denne korttype, prøv venligst et andet."
"Sandbox","Sandbox"
"Saved Cards","Gemte kort"
"Saved Payment Information","Gemte betalingsoplysninger"
"Save this account for future use","Gem denne konto til fremtidig brug"
"Save this card for future use","Gem dette kort til fremtidig brug"
"Settled","Afregnet"
"Settlement Declined","Afregning afvist"
"Settlement Pending","Afregning afventer"
"Settling","Afregner"
"Shipment","Forsendelse"
"Shipping method:","Leveringsmetode:"
"Should we verify the CVV against the card?","Skal vi verificere CVV mod kortet?"
"Single Payment","Enkelt betaling"
"Sorry, we were unable to process your request. Please try again.","Beklager, vi kunne ikke behandle din anmodning. Prøv venligst igen."
"Sort Order","Sorteringsrækkefølge"
"Spain","Spanien"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Ved at gemme kundens PayPal i Vault kan de øjeblikkeligt købe ethvert produkt uden at skulle logge ind på PayPal igen."
"Submitted For Settlement","Indsendt til afregning"
"Testing Settings","Testindstillinger"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","3D Secure-funktionen giver kunden mulighed for at indtaste en adgangskode for at bekræfte sin identitet over for kortudstederen. Hvis den accepteres, gennemfører de deres ordre, og når du modtager den, har du meget større tillid til, at den er ægte og reel."
"The following credit cards accounts are currently linked with your account.","Følgende kreditkortkonti er i øjeblikket tilknyttet din konto."
"The following PayPal accounts are currently linked with your account.","Følgende PayPal-konti er i øjeblikket tilknyttet din konto."
"The locale for the PayPal popup window","Sprogindstillingen for PayPal-pop op-vinduet"
"There are a number of errors present with the credit card form:","Der er en række fejl i kreditkortformularen:"
"There has been an issue processing your PayPal payment, please try again.","Der opstod et problem med at behandle din PayPal-betaling, prøv venligst igen."
"There was an issue whilst trying to process your card payment, please try again or another method.","Der opstod et problem under behandlingen af din kortbetaling, prøv venligst igen eller en anden metode."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","Vault giver dig mulighed for sikkert at gemme kundens kreditkort på Braintrees servere. Vi får et token, som gør det muligt for kunden at foretage fremtidige betalinger uden at skulle indtaste oplysninger igen."
"Title","Titel"
"Transaction Date","Transaktionsdato"
"Type","Type"
"United States","USA"
"Unrecognized","Ukendt"
"Valid Credentials","Gyldige loginoplysninger"
"Voided","Annulleret"
"We cannot detect the card type for this card number, please try re-entering your card details.","Vi kan ikke registrere korttypen for dette kortnummer, prøv venligst at indtaste dine kortoplysninger igen."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","Vi kan ikke matche dette kortnummer med nogen af vores accepterede betalingsmetoder, prøv venligst at indtaste dine oplysninger igen."
"We require a CVV when creating card transactions.","Vi kræver en CVV, når vi opretter korttransaktioner."
"We were unable to complete the request. Please try again.","Vi kunne ikke gennemføre anmodningen. Prøv venligst igen."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","Vi kunne ikke gennemføre dit køb via PayPal, prøv venligst igen eller en alternativ betalingsmetode."
"We were unable to process the country.","Vi kunne ikke behandle landet."
"We were unable to process the response from PayPal. Please try again.","Vi kunne ikke behandle svaret fra PayPal. Prøv venligst igen."
"We were unable to start the express checkout.","Vi kunne ikke starte ekspresbetalingen."
"We\'re currently unable to process this card type, please try another card or payment method.","Vi kan i øjeblikket ikke behandle denne korttype, prøv venligst et andet kort eller en anden betalingsmetode."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Du kan bruge enhver af de nedenfor anførte betalingsmetoder, når du køber via vores kasse, og du kan tilføje nye betalingsmetoder i kassen."
"You're ready to accept payments via Braintree","Du er klar til at modtage betalinger via Braintree"
"You currently have no saved payment information, you can save a payment method when making a purchase.","Du har i øjeblikket ingen gemte betalingsoplysninger, du kan gemme en betalingsmetode, når du foretager et køb."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Du skal først konfigurere sektionen <strong>Braintree v.zero - Configuration</strong> med oplysningerne om din Braintree-konto."
"Your 3D secure verification has failed, please try using another card, or payment method.","Din 3D Secure-verifikation mislykkedes, prøv venligst at bruge et andet kort eller en anden betalingsmetode."
"Your API details above will need to reflect your Sandbox or your Production account.","Dine API-oplysninger ovenfor skal afspejle din Sandbox- eller din Produktions-konto."
"Your card payment has failed, please try again.","Din kortbetaling mislykkedes, prøv venligst igen."
"Your Order","Din ordre"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Din betaling er mislykkedes i 3D Secure-verifikationen, prøv venligst en alternativ betalingsmetode."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","Din transaktion er blevet afvist, prøv venligst en anden betalingsmetode eller kontakt din udstedende bank."
"You will complete your payment via PayPal after the order review step.","Du gennemfører din betaling via PayPal efter ordregennemgangstrinnet."
