"%s. Please try again or attempt refreshing the page.","%s. Tente novamente ou atualize a página."
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","A depuração fará com que um log seja gravado no arquivo <strong>var/log/gene_braintree.log</strong>. Como nenhum dado de cartão de crédito chega ao servidor, este arquivo nunca conterá informações cruciais do cliente."
"Display","Exibir"
"Enable 3D Secure","Ativar 3D Secure"
"Enabled","Ativado"
"Enable Vault","Ativar Vault"
"Enable Vault/Saved Cards","Ativar Vault/Cartões Salvos"
"Environment","Ambiente"
"Excel XML","Excel XML"
"Expiration Date","Data de Validade"
"Expires:","Válido até:"
"Expiry Month","Mês de Validade"
"Expiry Year","Ano de Validade"
"Failed","Falhou"
"Features","Recursos"
"France","França"
"Future Payments","Pagamentos Futuros"
"Gateway Rejected","Gateway Rejeitado"
"Gateway rejected: AVS","Houve um problema ao validar seu endereço de cobrança."
"Germany","Alemanha"
"Grand total:","Total geral:"
"Great Britain & Ireland","Grã-Bretanha e Irlanda"
"Hong Kong","Hong Kong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Se você está apenas autorizando transações, pode definir em que momento elas devem ser enviadas para liquidação."
"Invoice","Fatura"
"is invalid.","é inválido."
"Italy","Itália"
"Kount Merchant ID","ID de Comerciante Kount"
"Locale","Idioma"
"Magento Braintree v.zero Version","Versão do Magento Braintree v.zero"
"Magento Order ID","ID do Pedido do Magento"
"Magento Status","Status do Magento"
"Merchant Account ID","ID da Conta de Comerciante"
"Merchant ID","ID de Comerciante"
"New Credit Card","Novo Cartão de Crédito"
"New Order Status","Status do Novo Pedido"
"Payment Action","Ação de Pagamento"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Payment Information","Informações de Pagamento"
"Payment Type","Tipo de Pagamento"
"Place Order","Fazer Pedido"
"Please provide a shipping address.","Por favor, informe um endereço de entrega."
"Please select a shipping method.","Por favor, selecione um método de envio."
"Private Key","Chave Privada"
"Processor Declined","Processador Recusou"
"Production","Produção"
"Public Key","Chave Pública"
"Sadly, we're unable to accept this type of card, please try another.","Infelizmente, não podemos aceitar este tipo de cartão, por favor tente outro."
"Sandbox","Sandbox"
"Saved Cards","Cartões Salvos"
"Saved Payment Information","Informações de Pagamento Salvas"
"Save this account for future use","Salvar esta conta para uso futuro"
"Save this card for future use","Salvar este cartão para uso futuro"
"Settled","Liquidado"
"Settlement Declined","Liquidação Recusada"
"Settlement Pending","Liquidação Pendente"
"Settling","Liquidando"
"Shipment","Remessa"
"Shipping method:","Método de envio:"
"Should we verify the CVV against the card?","Devemos verificar o CVV em relação ao cartão?"
"Single Payment","Pagamento Único"
"Sorry, we were unable to process your request. Please try again.","Desculpe, não conseguimos processar sua solicitação. Tente novamente."
"Sort Order","Ordem de Classificação"
"Spain","Espanha"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Armazenar o PayPal do cliente no vault permitirá que ele compre instantaneamente qualquer produto sem precisar fazer login no PayPal novamente."
"Submitted For Settlement","Enviado para Liquidação"
"Testing Settings","Configurações de Teste"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","O recurso 3D Secure permite que o comprador insira uma senha para confirmar sua identidade junto ao emissor do cartão. Se aceito, ele conclui o pedido e, ao recebê-lo, você tem muito mais confiança de que é genuíno e real."
"The following credit cards accounts are currently linked with your account.","As seguintes contas de cartão de crédito estão atualmente vinculadas à sua conta."
"The following PayPal accounts are currently linked with your account.","As seguintes contas PayPal estão atualmente vinculadas à sua conta."
"The locale for the PayPal popup window","O idioma da janela pop-up do PayPal"
"There are a number of errors present with the credit card form:","Há vários erros presentes no formulário de cartão de crédito:"
"There has been an issue processing your PayPal payment, please try again.","Houve um problema ao processar seu pagamento PayPal, por favor tente novamente."
"There was an issue whilst trying to process your card payment, please try again or another method.","Houve um problema ao tentar processar o pagamento do seu cartão, por favor tente novamente ou outro método."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","O vault permite armazenar com segurança o cartão de crédito do cliente nos servidores do Braintree. Recebemos um token que permite ao cliente fazer pagamentos futuros sem precisar inserir os dados novamente."
"Title","Título"
"Transaction Date","Data da Transação"
"Type","Tipo"
"United States","Estados Unidos"
"Unrecognized","Não Reconhecido"
"Valid Credentials","Credenciais Válidas"
"Voided","Anulado"
"We cannot detect the card type for this card number, please try re-entering your card details.","Não conseguimos detectar o tipo de cartão para este número, por favor tente inserir os dados do cartão novamente."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","Não conseguimos corresponder este número de cartão a nenhum dos nossos métodos de pagamento aceitos, por favor tente inserir seus dados novamente."
"We require a CVV when creating card transactions.","Exigimos um CVV ao criar transações com cartão."
"We were unable to complete the request. Please try again.","Não conseguimos concluir a solicitação. Tente novamente."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","Não conseguimos concluir sua compra pelo PayPal, por favor tente novamente ou um método de pagamento alternativo."
"We were unable to process the country.","Não conseguimos processar o país."
"We were unable to process the response from PayPal. Please try again.","Não conseguimos processar a resposta do PayPal. Tente novamente."
"We were unable to start the express checkout.","Não conseguimos iniciar o checkout expresso."
"We\'re currently unable to process this card type, please try another card or payment method.","No momento não conseguimos processar este tipo de cartão, por favor tente outro cartão ou método de pagamento."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Você pode usar qualquer um dos métodos de pagamento listados abaixo ao comprar em nosso checkout, e pode adicionar novos métodos de pagamento durante o checkout."
"You're ready to accept payments via Braintree","Você está pronto para aceitar pagamentos via Braintree"
"You currently have no saved payment information, you can save a payment method when making a purchase.","Você atualmente não possui informações de pagamento salvas, você pode salvar um método de pagamento ao fazer uma compra."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Você deve primeiro configurar a seção <strong>Braintree v.zero - Configuration</strong> com os dados da sua conta Braintree."
"Your 3D secure verification has failed, please try using another card, or payment method.","Sua verificação 3D Secure falhou, por favor tente usar outro cartão ou método de pagamento."
"Your API details above will need to reflect your Sandbox or your Production account.","Os dados da API acima precisarão refletir sua conta Sandbox ou de Produção."
"Your card payment has failed, please try again.","O pagamento do seu cartão falhou, por favor tente novamente."
"Your Order","Seu Pedido"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Seu pagamento falhou na verificação 3D Secure, por favor tente um método de pagamento alternativo."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","Sua transação foi recusada, por favor tente outro método de pagamento ou entre em contato com seu banco emissor."
"You will complete your payment via PayPal after the order review step.","Você concluirá seu pagamento via PayPal após a etapa de revisão do pedido."
