"%s. Please try again or attempt refreshing the page.","%s. Παρακαλούμε δοκιμάστε ξανά ή ανανεώστε τη σελίδα."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","Το vault σας επιτρέπει να αποθηκεύετε με ασφάλεια την πιστωτική κάρτα των πελατών στους servers του Braintree. Μας παρέχεται ένα token που επιτρέπει στον πελάτη να πραγματοποιεί μελλοντικές πληρωμές χωρίς να χρειάζεται να εισάγει ξανά τα στοιχεία του."
"Title","Τίτλος"
"Transaction Date","Ημερομηνία συναλλαγής"
"Type","Τύπος"
"United States","Ηνωμένες Πολιτείες"
"Unrecognized","Μη αναγνωρισμένο"
"Valid Credentials","Έγκυρα διαπιστευτήρια"
"Voided","Ακυρώθηκε"
"We cannot detect the card type for this card number, please try re-entering your card details.","Δεν μπορούμε να εντοπίσουμε τον τύπο κάρτας για αυτόν τον αριθμό κάρτας, παρακαλούμε δοκιμάστε να εισάγετε ξανά τα στοιχεία της κάρτας σας."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","Δεν μπορούμε να αντιστοιχίσουμε αυτόν τον αριθμό κάρτας με καμία από τις αποδεκτές μεθόδους πληρωμής μας, παρακαλούμε δοκιμάστε να εισάγετε ξανά τα στοιχεία σας."
"We require a CVV when creating card transactions.","Απαιτούμε CVV κατά τη δημιουργία συναλλαγών με κάρτα."
"We were unable to complete the request. Please try again.","Δεν μπορέσαμε να ολοκληρώσουμε το αίτημα. Παρακαλούμε δοκιμάστε ξανά."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","Δεν μπορέσαμε να ολοκληρώσουμε την αγορά σας μέσω PayPal, παρακαλούμε δοκιμάστε ξανά ή με εναλλακτική μέθοδο πληρωμής."
"We were unable to process the country.","Δεν μπορέσαμε να επεξεργαστούμε τη χώρα."
"We were unable to process the response from PayPal. Please try again.","Δεν μπορέσαμε να επεξεργαστούμε την απάντηση από το PayPal. Παρακαλούμε δοκιμάστε ξανά."
"We were unable to start the express checkout.","Δεν μπορέσαμε να ξεκινήσουμε το express checkout."
"We\'re currently unable to process this card type, please try another card or payment method.","Δεν μπορούμε επί του παρόντος να επεξεργαστούμε αυτόν τον τύπο κάρτας, παρακαλούμε δοκιμάστε άλλη κάρτα ή μέθοδο πληρωμής."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Μπορείτε να χρησιμοποιήσετε οποιαδήποτε από τις μεθόδους πληρωμής που αναφέρονται παρακάτω όταν αγοράζετε μέσω του checkout μας, μπορείτε να προσθέσετε νέες μεθόδους πληρωμής εντός του checkout."
"You're ready to accept payments via Braintree","Είστε έτοιμοι να δέχεστε πληρωμές μέσω Braintree"
"You currently have no saved payment information, you can save a payment method when making a purchase.","Δεν έχετε επί του παρόντος αποθηκευμένες πληροφορίες πληρωμής, μπορείτε να αποθηκεύσετε μια μέθοδο πληρωμής κατά την πραγματοποίηση μιας αγοράς."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Πρέπει πρώτα να ρυθμίσετε την ενότητα <strong>Braintree v.zero - Configuration</strong> με τα στοιχεία του λογαριασμού σας Braintree."
"Your 3D secure verification has failed, please try using another card, or payment method.","Η επαλήθευση 3D secure απέτυχε, παρακαλούμε δοκιμάστε να χρησιμοποιήσετε άλλη κάρτα ή μέθοδο πληρωμής."
"Your API details above will need to reflect your Sandbox or your Production account.","Τα στοιχεία API σας παραπάνω θα πρέπει να αντικατοπτρίζουν τον λογαριασμό σας Sandbox ή Production."
"Your card payment has failed, please try again.","Η πληρωμή με την κάρτα σας απέτυχε, παρακαλούμε δοκιμάστε ξανά."
"Your Order","Η παραγγελία σας"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Η πληρωμή σας απέτυχε στην επαλήθευση 3D secure, παρακαλούμε δοκιμάστε μια εναλλακτική μέθοδο πληρωμής."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","Η συναλλαγή σας απορρίφθηκε, παρακαλούμε δοκιμάστε μια άλλη μέθοδο πληρωμής ή επικοινωνήστε με την τράπεζα έκδοσής σας."
"You will complete your payment via PayPal after the order review step.","Θα ολοκληρώσετε την πληρωμή σας μέσω PayPal μετά το βήμα ελέγχου της παραγγελίας."
