"%s. Please try again or attempt refreshing the page.","%s. Försök igen eller prova att ladda om sidan."
"Testing Settings","Testinställningar"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","3D Secure-funktionen gör att kunden kan ange ett lösenord för att bekräfta sin identitet hos kortutgivaren. Om det godkänns slutför de sin order, och när du tar emot den kan du känna dig mycket säkrare på att den är äkta."
"The following credit cards accounts are currently linked with your account.","Följande kreditkortskonton är för närvarande kopplade till ditt konto."
"The following PayPal accounts are currently linked with your account.","Följande PayPal-konton är för närvarande kopplade till ditt konto."
"The locale for the PayPal popup window","Språket för PayPal-popupfönstret"
"There are a number of errors present with the credit card form:","Det finns ett antal fel i kreditkortsformuläret:"
"There has been an issue processing your PayPal payment, please try again.","Det uppstod ett problem med att behandla din PayPal-betalning, försök igen."
"There was an issue whilst trying to process your card payment, please try again or another method.","Det uppstod ett problem när din kortbetalning skulle behandlas, försök igen eller med en annan metod."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","Valvet gör att du säkert kan lagra kundens kreditkort på Braintrees servrar. Vi förses med en token som gör att kunden kan göra framtida betalningar utan att behöva ange några uppgifter igen."
"Title","Titel"
"Transaction Date","Transaktionsdatum"
"Type","Typ"
"United States","USA"
"Unrecognized","Okänd"
"Valid Credentials","Giltiga inloggningsuppgifter"
"Voided","Annullerad"
"We cannot detect the card type for this card number, please try re-entering your card details.","Vi kan inte identifiera korttypen för det här kortnumret, försök att ange dina kortuppgifter igen."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","Vi kan inte matcha det här kortnumret mot någon av våra accepterade betalningsmetoder, försök att ange dina uppgifter igen."
"We require a CVV when creating card transactions.","Vi kräver en CVV när korttransaktioner skapas."
"We were unable to complete the request. Please try again.","Vi kunde inte slutföra begäran. Försök igen."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","Vi kunde inte slutföra ditt köp via PayPal, försök igen eller med en alternativ betalningsmetod."
"We were unable to process the country.","Vi kunde inte behandla landet."
"We were unable to process the response from PayPal. Please try again.","Vi kunde inte behandla svaret från PayPal. Försök igen."
"We were unable to start the express checkout.","Vi kunde inte starta expresskassan."
"We\'re currently unable to process this card type, please try another card or payment method.","Vi kan för närvarande inte behandla den här korttypen, försök med ett annat kort eller en annan betalningsmetod."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Du kan använda vilken som helst av de betalningsmetoder som listas nedan när du handlar via vår kassa, och du kan lägga till nya betalningsmetoder i kassan."
"You're ready to accept payments via Braintree","Du är redo att ta emot betalningar via Braintree"
"You currently have no saved payment information, you can save a payment method when making a purchase.","Du har för närvarande ingen sparad betalningsinformation, du kan spara en betalningsmetod när du gör ett köp."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Du måste först konfigurera avsnittet <strong>Braintree v.zero - Configuration</strong> med dina Braintree-kontouppgifter."
"Your 3D secure verification has failed, please try using another card, or payment method.","Din 3D Secure-verifiering misslyckades, försök använda ett annat kort eller en annan betalningsmetod."
"Your API details above will need to reflect your Sandbox or your Production account.","Dina API-uppgifter ovan måste motsvara ditt Sandbox- eller ditt Production-konto."
"Your card payment has failed, please try again.","Din kortbetalning misslyckades, försök igen."
"Your Order","Din order"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Din betalning misslyckades med 3D Secure-verifieringen, försök med en alternativ betalningsmetod."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","Din transaktion har nekats, försök med en annan betalningsmetod eller kontakta din kortutgivande bank."
"You will complete your payment via PayPal after the order review step.","Du slutför din betalning via PayPal efter steget för ordergranskning."
