"%s. Please try again or attempt refreshing the page.","%s. Probeer het opnieuw of ververs de pagina."
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","Debuggen zorgt ervoor dat er een logbestand wordt geschreven naar het bestand <strong>var/log/gene_braintree.log</strong>. Omdat er nooit creditcardgegevens op de server terechtkomen, zal dit bestand nooit cruciale klantinformatie bevatten."
"Display","Weergave"
"Enable 3D Secure","3D Secure inschakelen"
"Enabled","Ingeschakeld"
"Enable Vault","Vault inschakelen"
"Enable Vault/Saved Cards","Vault/Opgeslagen kaarten inschakelen"
"Environment","Omgeving"
"Excel XML","Excel XML"
"Expiration Date","Vervaldatum"
"Expires:","Verloopt:"
"Expiry Month","Vervalmaand"
"Expiry Year","Vervaljaar"
"Failed","Mislukt"
"Features","Functies"
"France","Frankrijk"
"Future Payments","Toekomstige betalingen"
"Gateway Rejected","Gateway geweigerd"
"Gateway rejected: AVS","Er is een probleem opgetreden bij het valideren van uw factuuradres."
"Germany","Duitsland"
"Grand total:","Totaalbedrag:"
"Great Britain & Ireland","Groot-Brittannië & Ierland"
"Hong Kong","Hongkong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Als u transacties alleen autoriseert, kunt u bepalen op welk moment ze voor verrekening moeten worden ingediend."
"Invoice","Factuur"
"is invalid.","is ongeldig."
"Italy","Italië"
"Kount Merchant ID","Kount Merchant ID"
"Locale","Landinstelling"
"Magento Braintree v.zero Version","Magento Braintree v.zero-versie"
"Magento Order ID","Magento Order-ID"
"Magento Status","Magento-status"
"Merchant Account ID","Merchant Account ID"
"Merchant ID","Merchant ID"
"New Credit Card","Nieuwe creditcard"
"New Order Status","Nieuwe besteltoestand"
"Payment Action","Betalingsactie"
"Payment from Applicable Countries","Betaling vanuit toepasselijke landen"
"Payment from Specific Countries","Betaling vanuit specifieke landen"
"Payment Information","Betalingsinformatie"
"Payment Type","Betalingstype"
"Place Order","Bestelling plaatsen"
"Please provide a shipping address.","Geef een verzendadres op."
"Please select a shipping method.","Selecteer een verzendmethode."
"Private Key","Private Key"
"Processor Declined","Verwerker geweigerd"
"Production","Productie"
"Public Key","Public Key"
"Sadly, we're unable to accept this type of card, please try another.","Helaas kunnen we dit type kaart niet accepteren, probeer een andere."
"Sandbox","Sandbox"
"Saved Cards","Opgeslagen kaarten"
"Saved Payment Information","Opgeslagen betalingsinformatie"
"Save this account for future use","Bewaar dit account voor toekomstig gebruik"
"Save this card for future use","Bewaar deze kaart voor toekomstig gebruik"
"Settled","Verrekend"
"Settlement Declined","Verrekening geweigerd"
"Settlement Pending","Verrekening in behandeling"
"Settling","Verrekenen"
"Shipment","Zending"
"Shipping method:","Verzendmethode:"
"Should we verify the CVV against the card?","Moeten we de CVV verifiëren tegen de kaart?"
"Single Payment","Enkele betaling"
"Sorry, we were unable to process your request. Please try again.","Sorry, we konden uw verzoek niet verwerken. Probeer het opnieuw."
"Sort Order","Sorteervolgorde"
"Spain","Spanje"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Het opslaan van de PayPal van de klant in de vault stelt hen in staat om direct elk product te kopen zonder opnieuw bij PayPal te hoeven inloggen."
"Submitted For Settlement","Ingediend voor verrekening"
"Testing Settings","Testinstellingen"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","De 3D Secure-functie stelt de koper in staat om een wachtwoord in te voeren om zijn identiteit te bevestigen bij de kaartuitgever. Indien geaccepteerd, voltooit hij vervolgens zijn bestelling, en wanneer u deze ontvangt, heeft u veel meer vertrouwen dat deze echt en authentiek is."
"The following credit cards accounts are currently linked with your account.","De volgende creditcardaccounts zijn momenteel gekoppeld aan uw account."
"The following PayPal accounts are currently linked with your account.","De volgende PayPal-accounts zijn momenteel gekoppeld aan uw account."
"The locale for the PayPal popup window","De landinstelling voor het PayPal-pop-upvenster"
"There are a number of errors present with the credit card form:","Er zijn een aantal fouten aanwezig in het creditcardformulier:"
"There has been an issue processing your PayPal payment, please try again.","Er is een probleem opgetreden bij het verwerken van uw PayPal-betaling, probeer het opnieuw."
"There was an issue whilst trying to process your card payment, please try again or another method.","Er is een probleem opgetreden bij het verwerken van uw kaartbetaling, probeer het opnieuw of een andere methode."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","De vault stelt u in staat om de creditcard van de klant veilig op te slaan op de servers van Braintree. We ontvangen een token waarmee de klant toekomstige betalingen kan uitvoeren zonder opnieuw gegevens te hoeven invoeren."
"Title","Titel"
"Transaction Date","Transactiedatum"
"Type","Type"
"United States","Verenigde Staten"
"Unrecognized","Niet herkend"
"Valid Credentials","Geldige inloggegevens"
"Voided","Geannuleerd"
"We cannot detect the card type for this card number, please try re-entering your card details.","We kunnen het kaarttype voor dit kaartnummer niet detecteren, probeer uw kaartgegevens opnieuw in te voeren."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","We kunnen dit kaartnummer niet koppelen aan een van onze geaccepteerde betaalmethoden, probeer uw gegevens opnieuw in te voeren."
"We require a CVV when creating card transactions.","We vereisen een CVV bij het aanmaken van kaarttransacties."
"We were unable to complete the request. Please try again.","We konden het verzoek niet voltooien. Probeer het opnieuw."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","We konden uw aankoop via PayPal niet voltooien, probeer het opnieuw of een alternatieve betaalmethode."
"We were unable to process the country.","We konden het land niet verwerken."
"We were unable to process the response from PayPal. Please try again.","We konden het antwoord van PayPal niet verwerken. Probeer het opnieuw."
"We were unable to start the express checkout.","We konden het express afrekenen niet starten."
"We\'re currently unable to process this card type, please try another card or payment method.","We kunnen dit kaarttype momenteel niet verwerken, probeer een andere kaart of betaalmethode."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","U kunt bij het afrekenen elk van de onderstaande betaalmethoden gebruiken, en u kunt tijdens het afrekenen nieuwe betaalmethoden toevoegen."
"You're ready to accept payments via Braintree","U bent klaar om betalingen via Braintree te accepteren"
"You currently have no saved payment information, you can save a payment method when making a purchase.","U heeft momenteel geen opgeslagen betalingsinformatie, u kunt een betaalmethode opslaan bij het doen van een aankoop."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","U moet eerst de sectie <strong>Braintree v.zero - Configuration</strong> configureren met uw Braintree-accountgegevens."
"Your 3D secure verification has failed, please try using another card, or payment method.","Uw 3D Secure-verificatie is mislukt, probeer een andere kaart of betaalmethode te gebruiken."
"Your API details above will need to reflect your Sandbox or your Production account.","Uw bovenstaande API-gegevens moeten uw Sandbox- of uw Productie-account weerspiegelen."
"Your card payment has failed, please try again.","Uw kaartbetaling is mislukt, probeer het opnieuw."
"Your Order","Uw bestelling"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Uw betaling heeft de 3D Secure-verificatie niet doorstaan, probeer een alternatieve betaalmethode."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","Uw transactie is geweigerd, probeer een andere betaalmethode of neem contact op met uw uitgevende bank."
"You will complete your payment via PayPal after the order review step.","U voltooit uw betaling via PayPal na de stap voor het beoordelen van de bestelling."
