"%s. Please try again or attempt refreshing the page.","%s. Vă rugăm să încercați din nou sau să reîmprospătați pagina."
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","Depanarea va determina scrierea unui jurnal în fișierul <strong>var/log/gene_braintree.log</strong>. Deoarece niciun fel de date ale cardului de credit nu ajung vreodată pe server, acest fișier nu va conține niciodată informații cruciale despre client."
"Display","Afișare"
"Enable 3D Secure","Activează 3D Secure"
"Enabled","Activat"
"Enable Vault","Activează Vault"
"Enable Vault/Saved Cards","Activează Vault/Carduri salvate"
"Environment","Mediu"
"Excel XML","Excel XML"
"Expiration Date","Data expirării"
"Expires:","Expiră:"
"Expiry Month","Luna expirării"
"Expiry Year","Anul expirării"
"Failed","Eșuat"
"Features","Funcții"
"France","Franța"
"Future Payments","Plăți viitoare"
"Gateway Rejected","Respins de gateway"
"Gateway rejected: AVS","A apărut o problemă la validarea adresei dumneavoastră de facturare."
"Germany","Germania"
"Grand total:","Total general:"
"Great Britain & Ireland","Marea Britanie și Irlanda"
"Hong Kong","Hong Kong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Dacă doar autorizați tranzacțiile, puteți defini în ce moment trebuie trimise pentru decontare."
"Invoice","Factură"
"is invalid.","este invalid."
"Italy","Italia"
"Kount Merchant ID","ID comerciant Kount"
"Locale","Localizare"
"Magento Braintree v.zero Version","Versiune Magento Braintree v.zero"
"Magento Order ID","ID comandă Magento"
"Magento Status","Stare Magento"
"Merchant Account ID","ID cont comerciant"
"Merchant ID","ID comerciant"
"New Credit Card","Card de credit nou"
"New Order Status","Stare comandă nouă"
"Payment Action","Acțiune de plată"
"Payment from Applicable Countries","Plată din țările aplicabile"
"Payment from Specific Countries","Plată din anumite țări"
"Payment Information","Informații despre plată"
"Payment Type","Tip de plată"
"Place Order","Plasează comanda"
"Please provide a shipping address.","Vă rugăm să furnizați o adresă de livrare."
"Please select a shipping method.","Vă rugăm să selectați o metodă de livrare."
"Private Key","Cheie privată"
"Processor Declined","Refuzat de procesator"
"Production","Producție"
"Public Key","Cheie publică"
"Sadly, we're unable to accept this type of card, please try another.","Din păcate, nu putem accepta acest tip de card, vă rugăm să încercați altul."
"Sandbox","Sandbox"
"Saved Cards","Carduri salvate"
"Saved Payment Information","Informații de plată salvate"
"Save this account for future use","Salvează acest cont pentru utilizare ulterioară"
"Save this card for future use","Salvează acest card pentru utilizare ulterioară"
"Settled","Decontat"
"Settlement Declined","Decontare refuzată"
"Settlement Pending","Decontare în așteptare"
"Settling","Se decontează"
"Shipment","Expediere"
"Shipping method:","Metodă de livrare:"
"Should we verify the CVV against the card?","Să verificăm CVV-ul în raport cu cardul?"
"Single Payment","Plată unică"
"Sorry, we were unable to process your request. Please try again.","Ne pare rău, nu am putut procesa solicitarea dumneavoastră. Vă rugăm să încercați din nou."
"Sort Order","Ordine de sortare"
"Spain","Spania"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Stocarea contului PayPal al clientului în vault le va permite să achiziționeze instantaneu orice produs fără a fi nevoie să se autentifice din nou în PayPal."
"Submitted For Settlement","Trimis pentru decontare"
"Testing Settings","Setări de testare"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","Funcția 3D Secure permite cumpărătorului să introducă o parolă pentru a-și confirma identitatea la emitentul cardului. Dacă este acceptată, aceștia își finalizează comanda, iar când o primiți, aveți mult mai multă încredere că este autentică și reală."
"The following credit cards accounts are currently linked with your account.","Următoarele conturi de carduri de credit sunt în prezent asociate cu contul dumneavoastră."
"The following PayPal accounts are currently linked with your account.","Următoarele conturi PayPal sunt în prezent asociate cu contul dumneavoastră."
"The locale for the PayPal popup window","Localizarea pentru fereastra popup PayPal"
"There are a number of errors present with the credit card form:","Există o serie de erori în formularul de card de credit:"
"There has been an issue processing your PayPal payment, please try again.","A apărut o problemă la procesarea plății dumneavoastră PayPal, vă rugăm să încercați din nou."
"There was an issue whilst trying to process your card payment, please try again or another method.","A apărut o problemă în timpul procesării plății cu cardul, vă rugăm să încercați din nou sau altă metodă."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","Vault vă permite să stocați în siguranță cardul de credit al clientului pe serverele Braintree. Ni se furnizează un token care permite clientului să efectueze plăți viitoare fără a fi nevoie să introducă din nou vreun detaliu."
"Title","Titlu"
"Transaction Date","Data tranzacției"
"Type","Tip"
"United States","Statele Unite"
"Unrecognized","Nerecunoscut"
"Valid Credentials","Credențiale valide"
"Voided","Anulat"
"We cannot detect the card type for this card number, please try re-entering your card details.","Nu putem detecta tipul de card pentru acest număr de card, vă rugăm să încercați să reintroduceți detaliile cardului."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","Nu putem asocia acest număr de card cu niciuna dintre metodele noastre de plată acceptate, vă rugăm să încercați să reintroduceți detaliile."
"We require a CVV when creating card transactions.","Necesităm un CVV la crearea tranzacțiilor cu cardul."
"We were unable to complete the request. Please try again.","Nu am putut finaliza solicitarea. Vă rugăm să încercați din nou."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","Nu am putut finaliza achiziția dumneavoastră prin PayPal, vă rugăm să încercați din nou sau o metodă de plată alternativă."
"We were unable to process the country.","Nu am putut procesa țara."
"We were unable to process the response from PayPal. Please try again.","Nu am putut procesa răspunsul de la PayPal. Vă rugăm să încercați din nou."
"We were unable to start the express checkout.","Nu am putut porni finalizarea rapidă a comenzii."
"We\'re currently unable to process this card type, please try another card or payment method.","În prezent nu putem procesa acest tip de card, vă rugăm să încercați un alt card sau o altă metodă de plată."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Puteți utiliza oricare dintre metodele de plată enumerate mai jos atunci când cumpărați prin finalizarea comenzii, puteți adăuga noi metode de plată în timpul finalizării comenzii."
"You're ready to accept payments via Braintree","Sunteți gata să acceptați plăți prin Braintree"
"You currently have no saved payment information, you can save a payment method when making a purchase.","În prezent nu aveți informații de plată salvate, puteți salva o metodă de plată atunci când efectuați o achiziție."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Trebuie mai întâi să configurați secțiunea <strong>Braintree v.zero - Configuration</strong> cu detaliile contului dumneavoastră Braintree."
"Your 3D secure verification has failed, please try using another card, or payment method.","Verificarea dumneavoastră 3D secure a eșuat, vă rugăm să încercați să utilizați un alt card sau o altă metodă de plată."
"Your API details above will need to reflect your Sandbox or your Production account.","Detaliile API de mai sus vor trebui să reflecte contul dumneavoastră Sandbox sau Production."
"Your card payment has failed, please try again.","Plata dumneavoastră cu cardul a eșuat, vă rugăm să încercați din nou."
"Your Order","Comanda dumneavoastră"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Plata dumneavoastră a eșuat la verificarea 3D secure, vă rugăm să încercați o metodă de plată alternativă."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","Tranzacția dumneavoastră a fost refuzată, vă rugăm să încercați o altă metodă de plată sau să contactați banca emitentă."
"You will complete your payment via PayPal after the order review step.","Veți finaliza plata prin PayPal după etapa de verificare a comenzii."
