"%s. Please try again or attempt refreshing the page.","%s. Spróbuj ponownie lub odśwież stronę."
"Great Britain & Ireland","Wielka Brytania i Irlandia"
"Hong Kong","Hongkong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Jeśli tylko autoryzujesz transakcje, możesz określić, w którym momencie mają zostać przekazane do rozliczenia."
"Invoice","Faktura"
"is invalid.","jest nieprawidłowy."
"Italy","Włochy"
"Kount Merchant ID","Kount Merchant ID"
"Locale","Ustawienia regionalne"
"Magento Braintree v.zero Version","Wersja Magento Braintree v.zero"
"Magento Order ID","Magento Order ID"
"Magento Status","Status Magento"
"Merchant Account ID","Merchant Account ID"
"Merchant ID","Merchant ID"
"New Credit Card","Nowa karta kredytowa"
"New Order Status","Status nowego zamówienia"
"Payment Action","Akcja płatności"
"Payment from Applicable Countries","Płatność z odpowiednich krajów"
"Payment from Specific Countries","Płatność z określonych krajów"
"Payment Information","Informacje o płatności"
"Payment Type","Rodzaj płatności"
"Place Order","Złóż zamówienie"
"Please provide a shipping address.","Podaj adres dostawy."
"Please select a shipping method.","Wybierz metodę dostawy."
"Private Key","Klucz prywatny"
"Processor Declined","Odrzucone przez procesora"
"Production","Produkcja"
"Public Key","Klucz publiczny"
"Sadly, we're unable to accept this type of card, please try another.","Niestety nie możemy zaakceptować tego rodzaju karty, spróbuj użyć innej."
"Sandbox","Sandbox"
"Saved Cards","Zapisane karty"
"Saved Payment Information","Zapisane informacje o płatności"
"Save this account for future use","Zapisz to konto do przyszłego użytku"
"Save this card for future use","Zapisz tę kartę do przyszłego użytku"
"Settled","Rozliczone"
"Settlement Declined","Rozliczenie odrzucone"
"Settlement Pending","Rozliczenie oczekujące"
"Settling","Rozliczanie"
"Shipment","Wysyłka"
"Shipping method:","Metoda dostawy:"
"Should we verify the CVV against the card?","Czy mamy weryfikować CVV względem karty?"
"Single Payment","Pojedyncza płatność"
"Sorry, we were unable to process your request. Please try again.","Przepraszamy, nie udało się przetworzyć Twojego żądania. Spróbuj ponownie."
"Sort Order","Kolejność sortowania"
"Spain","Hiszpania"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Przechowywanie konta PayPal klienta w vault pozwoli mu natychmiast kupić dowolny produkt bez konieczności ponownego logowania do PayPal."
"Submitted For Settlement","Przekazane do rozliczenia"
"Testing Settings","Ustawienia testowe"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","Funkcja 3D Secure umożliwia kupującemu wprowadzenie hasła w celu potwierdzenia swojej tożsamości u wydawcy karty. W przypadku akceptacji finalizuje on zamówienie, a po jego otrzymaniu masz znacznie większą pewność, że jest ono autentyczne i prawdziwe."
"The following credit cards accounts are currently linked with your account.","Następujące konta kart kredytowych są obecnie powiązane z Twoim kontem."
"The following PayPal accounts are currently linked with your account.","Następujące konta PayPal są obecnie powiązane z Twoim kontem."
"The locale for the PayPal popup window","Ustawienia regionalne dla okna wyskakującego PayPal"
"There are a number of errors present with the credit card form:","W formularzu karty kredytowej występuje kilka błędów:"
"There has been an issue processing your PayPal payment, please try again.","Wystąpił problem podczas przetwarzania Twojej płatności PayPal, spróbuj ponownie."
"There was an issue whilst trying to process your card payment, please try again or another method.","Wystąpił problem podczas próby przetworzenia płatności kartą, spróbuj ponownie lub użyj innej metody."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","Vault pozwala bezpiecznie przechowywać kartę kredytową klienta na serwerach Braintree. Otrzymujemy token, który umożliwia klientowi dokonywanie przyszłych płatności bez konieczności ponownego wprowadzania danych."
"Title","Tytuł"
"Transaction Date","Data transakcji"
"Type","Typ"
"United States","Stany Zjednoczone"
"Unrecognized","Nierozpoznane"
"Valid Credentials","Prawidłowe dane uwierzytelniające"
"Voided","Anulowane"
"We cannot detect the card type for this card number, please try re-entering your card details.","Nie możemy wykryć rodzaju karty dla tego numeru, spróbuj ponownie wprowadzić dane karty."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","Nie możemy dopasować tego numeru karty do żadnej z akceptowanych przez nas metod płatności, spróbuj ponownie wprowadzić swoje dane."
"We require a CVV when creating card transactions.","Wymagamy CVV przy tworzeniu transakcji kartą."
"We were unable to complete the request. Please try again.","Nie udało nam się zrealizować żądania. Spróbuj ponownie."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","Nie udało nam się zrealizować Twojego zakupu przez PayPal, spróbuj ponownie lub użyj alternatywnej metody płatności."
"We were unable to process the country.","Nie udało nam się przetworzyć kraju."
"We were unable to process the response from PayPal. Please try again.","Nie udało nam się przetworzyć odpowiedzi z PayPal. Spróbuj ponownie."
"We were unable to start the express checkout.","Nie udało nam się rozpocząć szybkiej realizacji zamówienia."
"We\'re currently unable to process this card type, please try another card or payment method.","Obecnie nie możemy przetworzyć tego rodzaju karty, spróbuj użyć innej karty lub metody płatności."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Podczas zakupów w naszym sklepie możesz skorzystać z dowolnej z wymienionych poniżej metod płatności, a nowe metody płatności możesz dodać w trakcie realizacji zamówienia."
"You're ready to accept payments via Braintree","Jesteś gotowy do przyjmowania płatności przez Braintree"
"You currently have no saved payment information, you can save a payment method when making a purchase.","Obecnie nie masz zapisanych informacji o płatności, możesz zapisać metodę płatności podczas dokonywania zakupu."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Musisz najpierw skonfigurować sekcję <strong>Braintree v.zero - Configuration</strong>, podając dane swojego konta Braintree."
"Your 3D secure verification has failed, please try using another card, or payment method.","Twoja weryfikacja 3D Secure nie powiodła się, spróbuj użyć innej karty lub metody płatności."
"Your API details above will need to reflect your Sandbox or your Production account.","Powyższe dane API muszą odpowiadać Twojemu kontu Sandbox lub Produkcyjnemu."
"Your card payment has failed, please try again.","Twoja płatność kartą nie powiodła się, spróbuj ponownie."
"Your Order","Twoje zamówienie"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Twoja płatność nie przeszła weryfikacji 3D Secure, spróbuj użyć alternatywnej metody płatności."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","Twoja transakcja została odrzucona, spróbuj użyć innej metody płatności lub skontaktuj się z bankiem wydającym kartę."
"You will complete your payment via PayPal after the order review step.","Płatność przez PayPal dokończysz po etapie przeglądu zamówienia."
