"%s. Please try again or attempt refreshing the page.","%s. Bitte versuchen Sie es erneut oder aktualisieren Sie die Seite."
"Should we verify the CVV against the card?","Sollen wir die CVV mit der Karte abgleichen?"
"Single Payment","Einmalzahlung"
"Sorry, we were unable to process your request. Please try again.","Es tut uns leid, wir konnten Ihre Anfrage nicht verarbeiten. Bitte versuchen Sie es erneut."
"Sort Order","Sortierreihenfolge"
"Spain","Spanien"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Durch das Speichern des PayPal-Kontos des Kunden im Vault kann dieser jedes Produkt sofort kaufen, ohne sich erneut bei PayPal anmelden zu müssen."
"Submitted For Settlement","Zur Abbuchung eingereicht"
"Testing Settings","Testeinstellungen"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","Die 3D Secure-Funktion ermöglicht es dem Käufer, ein Passwort einzugeben, um seine Identität beim Kartenaussteller zu bestätigen. Bei Annahme schließt er dann seine Bestellung ab, und wenn Sie diese erhalten, können Sie sich viel sicherer sein, dass sie echt und authentisch ist."
"The following credit cards accounts are currently linked with your account.","Die folgenden Kreditkartenkonten sind derzeit mit Ihrem Konto verknüpft."
"The following PayPal accounts are currently linked with your account.","Die folgenden PayPal-Konten sind derzeit mit Ihrem Konto verknüpft."
"The locale for the PayPal popup window","Das Gebietsschema für das PayPal-Popup-Fenster"
"There are a number of errors present with the credit card form:","Im Kreditkartenformular sind mehrere Fehler vorhanden:"
"There has been an issue processing your PayPal payment, please try again.","Bei der Verarbeitung Ihrer PayPal-Zahlung ist ein Problem aufgetreten, bitte versuchen Sie es erneut."
"There was an issue whilst trying to process your card payment, please try again or another method.","Bei der Verarbeitung Ihrer Kartenzahlung ist ein Problem aufgetreten, bitte versuchen Sie es erneut oder verwenden Sie eine andere Methode."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","Der Vault ermöglicht es Ihnen, die Kreditkarte des Kunden sicher auf den Servern von Braintree zu speichern. Wir erhalten ein Token, mit dem der Kunde zukünftige Zahlungen vornehmen kann, ohne erneut Daten eingeben zu müssen."
"Title","Titel"
"Transaction Date","Transaktionsdatum"
"Type","Typ"
"United States","Vereinigte Staaten"
"Unrecognized","Nicht erkannt"
"Valid Credentials","Gültige Anmeldedaten"
"Voided","Storniert"
"We cannot detect the card type for this card number, please try re-entering your card details.","Wir können den Kartentyp für diese Kartennummer nicht erkennen, bitte geben Sie Ihre Kartendaten erneut ein."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","Wir können diese Kartennummer keiner unserer akzeptierten Zahlungsmethoden zuordnen, bitte geben Sie Ihre Daten erneut ein."
"We require a CVV when creating card transactions.","Wir benötigen eine CVV bei der Erstellung von Kartentransaktionen."
"We were unable to complete the request. Please try again.","Wir konnten die Anfrage nicht abschließen. Bitte versuchen Sie es erneut."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","Wir konnten Ihren Kauf über PayPal nicht abschließen, bitte versuchen Sie es erneut oder verwenden Sie eine alternative Zahlungsmethode."
"We were unable to process the country.","Wir konnten das Land nicht verarbeiten."
"We were unable to process the response from PayPal. Please try again.","Wir konnten die Antwort von PayPal nicht verarbeiten. Bitte versuchen Sie es erneut."
"We were unable to start the express checkout.","Wir konnten den Express-Checkout nicht starten."
"We\'re currently unable to process this card type, please try another card or payment method.","Wir können diesen Kartentyp derzeit nicht verarbeiten, bitte versuchen Sie eine andere Karte oder Zahlungsmethode."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Sie können jede der unten aufgeführten Zahlungsmethoden beim Kauf über unseren Checkout verwenden, Sie können neue Zahlungsmethoden innerhalb des Checkouts hinzufügen."
"You're ready to accept payments via Braintree","Sie sind bereit, Zahlungen über Braintree entgegenzunehmen"
"You currently have no saved payment information, you can save a payment method when making a purchase.","Sie haben derzeit keine gespeicherten Zahlungsinformationen, Sie können eine Zahlungsmethode beim Kauf speichern."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Sie müssen zunächst den Bereich <strong>Braintree v.zero - Configuration</strong> mit Ihren Braintree-Kontodaten konfigurieren."
"Your 3D secure verification has failed, please try using another card, or payment method.","Ihre 3D Secure-Verifizierung ist fehlgeschlagen, bitte versuchen Sie eine andere Karte oder Zahlungsmethode."
"Your API details above will need to reflect your Sandbox or your Production account.","Ihre oben angegebenen API-Daten müssen Ihrem Sandbox- oder Ihrem Produktivkonto entsprechen."
"Your card payment has failed, please try again.","Ihre Kartenzahlung ist fehlgeschlagen, bitte versuchen Sie es erneut."
"Your Order","Ihre Bestellung"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Ihre Zahlung hat die 3D Secure-Verifizierung nicht bestanden, bitte versuchen Sie eine alternative Zahlungsmethode."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","Ihre Transaktion wurde abgelehnt, bitte versuchen Sie eine andere Zahlungsmethode oder wenden Sie sich an Ihre ausstellende Bank."
"You will complete your payment via PayPal after the order review step.","Sie schließen Ihre Zahlung über PayPal nach dem Bestellübersichtsschritt ab."
