"%s. Please try again or attempt refreshing the page.","%s. Vuelva a intentarlo o pruebe a actualizar la página."
"We cannot detect the card type for this card number, please try re-entering your card details.","No podemos detectar el tipo de tarjeta para este número de tarjeta, pruebe a volver a introducir los datos de su tarjeta."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","No podemos asociar este número de tarjeta a ninguno de nuestros métodos de pago aceptados, pruebe a volver a introducir sus datos."
"We require a CVV when creating card transactions.","Necesitamos un CVV al crear transacciones con tarjeta."
"We were unable to complete the request. Please try again.","No hemos podido completar la solicitud. Vuelva a intentarlo."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","No hemos podido completar su compra a través de PayPal, vuelva a intentarlo o use un método de pago alternativo."
"We were unable to process the country.","No hemos podido procesar el país."
"We were unable to process the response from PayPal. Please try again.","No hemos podido procesar la respuesta de PayPal. Vuelva a intentarlo."
"We were unable to start the express checkout.","No hemos podido iniciar el pago exprés."
"We\'re currently unable to process this card type, please try another card or payment method.","Actualmente no podemos procesar este tipo de tarjeta, pruebe con otra tarjeta o método de pago."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Puede usar cualquiera de los métodos de pago que se enumeran a continuación al comprar a través de nuestro proceso de pago, y puede añadir nuevos métodos de pago dentro del proceso de pago."
"You're ready to accept payments via Braintree","Ya puede aceptar pagos a través de Braintree"
"You currently have no saved payment information, you can save a payment method when making a purchase.","Actualmente no tiene información de pago guardada, puede guardar un método de pago al realizar una compra."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Primero debe configurar la sección <strong>Braintree v.zero - Configuration</strong> con los datos de su cuenta de Braintree."
"Your 3D secure verification has failed, please try using another card, or payment method.","Su verificación 3D Secure ha fallado, pruebe a usar otra tarjeta o método de pago."
"Your API details above will need to reflect your Sandbox or your Production account.","Los datos de la API anteriores deberán reflejar su cuenta de Sandbox o de Producción."
"Your card payment has failed, please try again.","Su pago con tarjeta ha fallado, vuelva a intentarlo."
"Your Order","Su pedido"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Su pago no ha superado la verificación 3D Secure, pruebe con un método de pago alternativo."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","Su transacción ha sido rechazada, pruebe con otro método de pago o póngase en contacto con su banco emisor."
"You will complete your payment via PayPal after the order review step.","Completará su pago a través de PayPal después del paso de revisión del pedido."
